target_type	target_id	image_url	alt	credit	licence	source_tsv
event	ETMP_L126_labatailledegaullej_0828	https://fr.web.img5.acsta.net/img/fe/af/feaf214ef84e96e437f8c65e7c540e86.jpg	La bataille de Gaulle – J’écris ton nom — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullej_0830	https://fr.web.img5.acsta.net/img/fe/af/feaf214ef84e96e437f8c65e7c540e86.jpg	La bataille de Gaulle – J’écris ton nom — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullej_0831	https://fr.web.img5.acsta.net/img/fe/af/feaf214ef84e96e437f8c65e7c540e86.jpg	La bataille de Gaulle – J’écris ton nom — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullej_0901	https://fr.web.img5.acsta.net/img/fe/af/feaf214ef84e96e437f8c65e7c540e86.jpg	La bataille de Gaulle – J’écris ton nom — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullej_0908	https://fr.web.img5.acsta.net/img/fe/af/feaf214ef84e96e437f8c65e7c540e86.jpg	La bataille de Gaulle – J’écris ton nom — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullej_0913	https://fr.web.img5.acsta.net/img/fe/af/feaf214ef84e96e437f8c65e7c540e86.jpg	La bataille de Gaulle – J’écris ton nom — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullej_0920	https://fr.web.img5.acsta.net/img/fe/af/feaf214ef84e96e437f8c65e7c540e86.jpg	La bataille de Gaulle – J’écris ton nom — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullel_0830	https://fr.web.img6.acsta.net/img/61/de/61dec3511b1ef0a65757a438ca898bbb.jpg	La bataille de Gaulle – L’âge de fer — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullel_0831	https://fr.web.img6.acsta.net/img/61/de/61dec3511b1ef0a65757a438ca898bbb.jpg	La bataille de Gaulle – L’âge de fer — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullel_0901	https://fr.web.img6.acsta.net/img/61/de/61dec3511b1ef0a65757a438ca898bbb.jpg	La bataille de Gaulle – L’âge de fer — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullel_0908	https://fr.web.img6.acsta.net/img/61/de/61dec3511b1ef0a65757a438ca898bbb.jpg	La bataille de Gaulle – L’âge de fer — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullel_0913	https://fr.web.img6.acsta.net/img/61/de/61dec3511b1ef0a65757a438ca898bbb.jpg	La bataille de Gaulle – L’âge de fer — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L126_labatailledegaullel_0922	https://fr.web.img6.acsta.net/img/61/de/61dec3511b1ef0a65757a438ca898bbb.jpg	La bataille de Gaulle – L’âge de fer — affiche officielle	AlloCiné (allocine.fr) / Pathé Films	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L125_389_09241450	https://films.cinemas-utopia.org/wp-content/uploads/2026/07/Fini-de-rire-AFF.jpg	Fini de rire ! L’humour politique au garde-à-vous ? — affiche officielle	Cinémas Utopia (films.cinemas-utopia.org)	Droits réservés — usage éditorial affiche salle	ae_films_fill_empty.tsv
programme	P9322	https://films.cinemas-utopia.org/wp-content/uploads/2026/07/Fini-de-rire-AFF.jpg	Fini de rire ! L’humour politique au garde-à-vous ? — affiche officielle	Cinémas Utopia (films.cinemas-utopia.org)	Droits réservés — usage éditorial affiche salle	ae_films_fill_empty.tsv
programme	PTMP_L125_412_09252100	https://films.cinemas-utopia.org/wp-content/uploads/2026/07/Fini-de-rire-AFF.jpg	Fini de rire ! L’humour politique au garde-à-vous ? — affiche officielle	Cinémas Utopia (films.cinemas-utopia.org)	Droits réservés — usage éditorial affiche salle	ae_films_fill_empty.tsv
event	ETMP_L142_marathonharrypotter2_0829	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle — UGC Montaudran	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L142_marathonharrypotter2_0830	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle — UGC Montaudran	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_51_08291100	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_52_08291430	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_53_08291800	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_54_08292100	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_82_08301100	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_83_08301400	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_84_08301730	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L142_85_08302100	https://fr.web.img4.acsta.net/img/e7/3e/e73e85182622161d9546ca494a4db564.jpg	Marathon Harry Potter — 25 ans de magie — affiche officielle	AlloCiné (allocine.fr) / Warner Bros.	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L141_chicastristes_0827	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle — American Cosmograph	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L141_chicastristes_0828	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle — American Cosmograph	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L141_chicastristes_0830	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle — American Cosmograph	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L141_chicastristes_0831	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle — American Cosmograph	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L141_4_08271915	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L141_13_08281710	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L141_34_08301710	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L141_42_08311550	https://fr.web.img4.acsta.net/img/57/32/5732fc7877b55cb456ac1a47200b74fc.jpg	Chicas tristes — affiche officielle	AlloCiné (allocine.fr)	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	ETMP_L141_robocop_0828	https://fr.web.img2.acsta.net/pictures/24/03/19/09/30/3388638.jpg	RoboCop — affiche officielle — American Cosmograph	AlloCiné (allocine.fr) / Orion — reprise 1987	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
programme	PTMP_L141_18_08282040	https://fr.web.img2.acsta.net/pictures/24/03/19/09/30/3388638.jpg	RoboCop — affiche officielle	AlloCiné (allocine.fr) / Orion — reprise 1987	Droits réservés — usage éditorial affiche officielle	ae_films_fill_empty.tsv
event	BAR0054	https://ugc.zenchef.com/uploaded-files/370268/events/creating/DFO6GJs9fK4gGuPOPANekPoh276lLTgqXisHv5Yf.png	The bricks — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0055	https://ugc.zenchef.com/uploaded-files/370268/events/creating/xaySb6zVVETpikevN983wKNhAyUKA6OXxxQCk6ab.jpg	Bounce Back — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0056	https://ugc.zenchef.com/uploaded-files/370268/events/creating/Y9Osg38CBL3eOAXgiE1QtccqtmKyXoAPo2jq36B2.jpg	Ad Lib — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0057	https://ugc.zenchef.com/uploaded-files/370268/events/creating/Wbl5PQxR82lQsygy37IYoGa60DVFb350V0KWWAM0.jpg	Khero — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0058	https://ugc.zenchef.com/uploaded-files/370268/events/creating/4YwNSEGh48d8fStVkoOIZFc1Jt0pKWMoAqziTIVr.jpg	Paint It Blues — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0067	https://botapub.fr/wp-content/uploads/2026/08/logo-6ans-pdf.jpg	LES 6 ANS DU BOTA PUB — JOUR 3 : soirée années 2000-2010 avec DJ Set — Bota Pub	Bota Pub (botapub.fr)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0059	https://ugc.zenchef.com/uploaded-files/370268/events/creating/7YoZKRQnoY3zyAETUX6Q3eHHfbfSpuDiIB6XOYsn.jpg	Funk.It — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0060	https://ugc.zenchef.com/uploaded-files/370268/events/creating/kUc3l1YEFMH4ukI3HOjB67gKeJqr2TC4Yq15qQvM.jpg	Avou Acoustic — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0061	https://ugc.zenchef.com/uploaded-files/370268/events/creating/pfj6h1p0bruLlbIbjmtF9JeKDsgYvPJiY6lIonmS.png	Radio fit — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
event	BAR0062	https://ugc.zenchef.com/uploaded-files/370268/events/creating/81Nlu2gtkRuOanDNvPcmeJkU1luDTEK3sJ3D3s96.jpg	Move Over — The Place to Beer	The Place to Beer (theplace2beer.com / Zenchef)	all-rights-reserved	bar_l189_l190_fill.tsv
